"Nazwa","Ticker","Kurs","Zmiana","Zmiana procentowa","Wpływ na indeks","Udział w obrocie","Pakiet","Udział w portfelu"
"06MAGNA","06N","2.4","-0.05","-2,04%","≈ -0,0001%","< 0,0001%","9 988 000","< 0,01%"
"11BIT","11B","185.5","0.5","0,27%","0,0002%","0,0917%","2 246 000","0,08%"
"3RGAMES","3RG","0.814","-0.034","-4,01%","-0,0004%","0,0148%","35 027 000","0,01%"
"4MASS","4MS","4.78","0.05","1,06%","0,0001%","0,0220%","16 942 000","0,01%"
"ABPL","ABE","93.8","-0.7","-0,74%","-0,0016%","0,0162%","12 722 000","0,22%"
"ACAUTOGAZ","ACG","24.6","0.4","1,65%","0,0007%","0,0046%","7 874 000","0,04%"
"ACTION","ACT","26.65","0.65","2,50%","0,0005%","0,0150%","4 385 000","0,02%"
"AGORA","AGO","9.44","0.02","0,21%","0,0001%","1,0886%","35 823 000","0,06%"
"AGROTON","AGT","6.2","0.24","4,03%","≈ 0,0001%","0,0103%","2 710 000","< 0,01%"
"AILLERON","ALL","18.98","-0.02","-0,11%","≈ -0,0001%","0,0133%","6 523 000","0,02%"
"AIRWAY","AWM","0.41","-0.015","-3,53%","≈ -0,0001%","0,0294%","60 382 000","< 0,01%"
"ALIOR","ALR","117","1.2","1,04%","0,0200%","2,5187%","88 895 000","1,92%"
"ALLEGRO","ALE","38.13","0.255","0,67%","0,0337%","5,2927%","715 320 000","5,03%"
"ALTA","AAT","2.05","-0.09","-4,21%","≈ -0,0001%","0,0005%","7 870 000","< 0,01%"
"ALTUS","ALI","1.855","0.02","1,09%","0,0001%","< 0,0001%","22 765 000","0,01%"
"AMBRA","AMB","20.35","0","0,00%","0,0000%","0,0185%","9 800 000","0,04%"
"AMICA","AMC","58","1.3","2,29%","0,0011%","0,0257%","5 058 000","0,05%"
"AMREST","EAT","15.02","-0.34","-2,21%","-0,0033%","0,1584%","55 417 000","0,15%"
"ANSWEAR","ANR","28.1","1.35","5,05%","0,0010%","0,0749%","3 424 000","0,02%"
"APATOR","APT","21.4","0.05","0,23%","0,0002%","0,0100%","21 036 000","0,08%"
"APLISENS","APN","18.7","0","0,00%","0,0000%","0,0001%","2 190 000","0,01%"
"APSENERGY","APE","2.98","0","0,00%","0,0000%","0,0002%","4 515 000","< 0,01%"
"ARCHICOM","ARH","49","1","2,08%","0,0029%","0,0034%","15 188 000","0,14%"
"ARCTIC","ATC","9.57","0.17","1,81%","0,0007%","0,0391%","21 989 000","0,04%"
"ARLEN","ARL","43.55","-1.05","-2,35%","-0,0016%","0,1319%","8 833 000","0,07%"
"ARTIFEX","ART","14.86","-0.08","-0,54%","-0,0001%","0,0039%","6 908 000","0,02%"
"ASBIS","ASB","28.4","0.38","1,36%","0,0023%","0,0934%","32 023 000","0,17%"
"ASSECOBS","ABS","84.4","-1.2","-1,40%","-0,0039%","0,0100%","17 889 000","0,28%"
"ASSECOPOL","ACP","191.2","3.4","1,81%","0,0329%","0,7612%","51 581 000","1,82%"
"ASSECOSEE","ASE","72.3","1.3","1,83%","0,0062%","0,0150%","25 487 000","0,34%"
"ASTARTA","AST","51.1","0.2","0,39%","0,0003%","0,1307%","7 195 000","0,07%"
"ATAL","1AT","61.1","0.1","0,16%","0,0002%","0,0120%","10 103 000","0,11%"
"ATENDE","ATD","3.35","0.03","0,90%","0,0001%","0,0022%","19 906 000","0,01%"
"ATLANTAPL","ATP","15.9","0","0,00%","0,0000%","0,0000%","1 487 000","< 0,01%"
"ATLANTIS","ATS","2.1","-0.03","-1,41%","≈ -0,0001%","0,0002%","4 975 000","< 0,01%"
"ATMGRUPA","ATG","3.94","-0.03","-0,76%","-0,0002%","0,0006%","35 882 000","0,03%"
"ATREM","ATR","40.2","3","8,06%","0,0016%","0,0714%","2 098 000","0,02%"
"AUTOPARTN","APR","21","0.2","0,96%","0,0028%","0,1129%","73 675 000","0,29%"
"BBIDEV","BBD","5.4","0.05","0,93%","0,0001%","0,0002%","5 502 000","0,01%"
"BENEFIT","BFT","3445","10","0,29%","0,0052%","0,6814%","2 834 000","1,80%"
"BETACOM","BCM","5.25","0.1","1,94%","≈ 0,0001%","0,0002%","1 469 000","< 0,01%"
"BIGCHEESE","BCS","13.42","-0.04","-0,30%","≈ -0,0001%","0,0063%","2 209 000","0,01%"
"BIOCELTIX","BCX","104.4","0.4","0,38%","0,0003%","0,0153%","3 460 000","0,07%"
"BIOMAXIMA","BMX","13.7","0.3","2,24%","0,0002%","0,0053%","2 753 000","0,01%"
"BIOPLANET","BIP","16.7","0.2","1,21%","≈ 0,0001%","0,0002%","631 000","< 0,01%"
"BIOTON","BIO","4.18","0.06","1,46%","0,0006%","0,0080%","47 384 000","0,04%"
"BLOOBER","BLO","28.3","-1","-3,41%","-0,0024%","0,0750%","12 691 000","0,07%"
"BNPPPL","BNP","110.5","-0.5","-0,45%","-0,0026%","0,0224%","27 756 000","0,57%"
"BOGDANKA","LWB","23.35","0.15","0,65%","0,0003%","0,0183%","12 051 000","0,05%"
"BOOMBIT","BBT","6.66","0.04","0,60%","≈ 0,0001%","0,0018%","2 098 000","< 0,01%"
"BORYSZEW","BRS","6","0.02","0,33%","0,0002%","0,0156%","46 167 000","0,05%"
"BOS","BOS","12.38","0.36","3,00%","0,0018%","0,1085%","25 847 000","0,06%"
"BOWIM","BOW","4.44","0","0,00%","0,0000%","0,0002%","4 647 000","< 0,01%"
"BUDIMEX","BDX","578.8","13.4","2,37%","0,0322%","1,6297%","12 728 000","1,36%"
"BUMECH","BMC","13.06","-0.04","-0,31%","-0,0001%","0,0185%","7 095 000","0,02%"
"CAPITEA","CAP","0.452","0.002","0,44%","≈ 0,0001%","0,0006%","45 258 000","< 0,01%"
"CAPTORTX","CTX","40.5","0.2","0,50%","0,0001%","0,0241%","3 653 000","0,03%"
"CAVATINA","CAV","13.7","0","0,00%","0,0000%","0,0000%","6 313 000","0,02%"
"CCC","CCC","177.75","11.75","7,08%","0,1189%","16,7926%","51 384 000","1,68%"
"CDPROJEKT","CDR","254.4","-0.6","-0,24%","-0,0079%","2,1588%","70 412 000","3,30%"
"CDRL","CDL","9.95","0.05","0,51%","≈ 0,0001%","< 0,0001%","978 000","< 0,01%"
"CELTIC","CPD","6","0","0,00%","0,0000%","0,0003%","1 968 000","< 0,01%"
