"Spółka","Ticker","Średnia stopa wzrostu EPS r/r","Średni wskaźnik C/Z","Prognoza EPS na kolejny rok","Prognoza ceny akcji na następny rok","EPS za poprzedni rok","Aktualny EPS","Obliczona Średnia z Ostatnich lat"
"06MAGNA","06N","2150.88","-7.64","8.1","N/A","0.36","0.04","5"
"11BIT","11B","226.44","548.82","9.3","5106.07","2.85","6.56","5"
"ATAL","1AT","24.68","6.71","8.53","57.24","6.84","5","5"
"3RGAMES","3RG","21.97","-9.01","-0.01","N/A","-0.01","-0.01","5"
"4MASS","4MS","115.12","6.65","1.57","10.45","0.73","0.65","5"
"ALTA","AAT","2230.08","4.12","13.28","54.67","0.57","0.11","5"
"ABPL","ABE","37.7","5.86",NULL,NULL,NULL,"10.68","5"
"ASSECOBS","ABS","9.56","17.16","3.77","64.69","3.44","3.55","5"
"ACAUTOGAZ","ACG","-1.39","10.8","3.03","32.7","3.07","2.18","5"
"ASSECOPOL","ACP","14.62","6.48","18.43","119.51","16.08","16.53","5"
"ACTION","ACT","628.87","5.88","18.15","106.79","2.49","2.34","5"
"AGORA","AGO","-443.86","2.56","-1.96","N/A","0.57","0.43","5"
"ALLEGRO","ALE","53.81","63.79","1.51","96.15","0.98","1.03","5"
"ALTUS","ALI","54.32","7.86","0.65","5.1","0.42","0.4","5"
"AILLERON","ALL","421.08","9.7","22.41","217.34","4.3","4.07","5"
"ALIOR","ALR","58.22","4.47","29.64","132.41","18.73","18.36","5"
"AMBRA","AMB","12.61","8.88","3.29","29.19","2.92","2.66","5"
"AMICA","AMC","78.28","-30.52","3.03","N/A","1.7","0.44","5"
"ANSWEAR","ANR","-5.71","17.08","-0.5","N/A","-0.53","-0.11","5"
"APSENERGY","APE","-368.22","30.73","3.43","105.5","-1.28","-1.11","5"
"APLISENS","APN","15.75","8.88","2.25","19.95","1.94","1.57","5"
"AUTOPARTN","APR","33.79","12.03","2.13","25.59","1.59","1.58","5"
"APATOR","APT","141","31.19","5.4","168.36","2.24","1.99","5"
"ARCHICOM","ARH","-7.78","8.01","1.69","13.52","1.83","0.24","5"
"ARTIFEX","ART","65.1","12.27","3.78","46.4","2.29","2.39","5"
"ASBIS","ASB","45.64","4.63","5.68","26.28","3.9","3.8","5"
"ASSECOSEE","ASE","18.31","14.46","4.66","67.4","3.94","3.77","5"
"ASTARTA","AST","353.98","6.67","65.01","433.87","14.32","13.39","5"
"ARCTIC","ATC","55.66","4.3","3.63","15.6","2.33","-0.63","5"
"ATENDE","ATD","78.43","-14.53","-0.59","N/A","-0.33","-0.24","5"
"ATMGRUPA","ATG","6.7","12.07","0.35","4.25","0.33","0.29","5"
"ATLANTAPL","ATP","53.84","5.91",NULL,NULL,NULL,"2.66","5"
"ATREM","ATR","106.86","13.43","3.5","46.96","1.69","2.36","5"
"ATLANTIS","ATS","77.65","64.36",NULL,NULL,NULL,"0","5"
"GRUPAAZOTY","ATT","-107.75","3.77","0.84","3.18","-10.86","-10.78","5"
"AIRWAY","AWM","-162.13","-12.19","0.1","N/A","-0.16","-0.11","5"
"BBIDEV","BBD","63.93","-3.5","-0.54","N/A","-0.33","0.26","5"
"BOOMBIT","BBT","33.35","19.11","0.4","7.64","0.3","0.15","5"
"BETACOM","BCM","-85.26","-2.55","0.06","N/A","0.39","0.16","5"
"BIGCHEESE","BCS","34.33","19.77","2.23","44.08","1.66","0.95","5"
"BIOCELTIX","BCX","-28.28","-29.28","-2.17","N/A","-3.03","-2.94","5"
"BUDIMEX","BDX","38.1","16.56","33.74","558.77","24.43","23.97","5"
"BENEFIT","BFT","157.61","-8.53","390.97","N/A","151.77","137.65","5"
"HANDLOWY","BHW","78.21","12.37","24","296.89","13.47","11.58","5"
"BIOTON","BIO","-148.72","92.54","0.09","8.11","-0.18","-0.19","5"
"BIOPLANET","BIP","47.42","42.41","0.99","41.89","0.67","1.04","5"
"BLOOBER","BLO","180.08","112.3","3.05","342.85","1.09","0.53","5"
"BUMECH","BMC","4257.25","4.66","-3474.47","N/A","-79.74","-74.92","5"
"BIOMAXIMA","BMX","9568.14","47.88","12.57","601.76","0.13","0.21","5"
"BNPPPL","BNP","71.1","23.36","27.31","638.02","15.96","17.72","5"
"BOS","BOS","-55.58","11.45","0.38","4.38","0.86","1.17","5"
"BOWIM","BOW","185.67","1.92","-1.54","N/A","-0.54","-0.83","5"
"BORYSZEW","BRS","71.98","9.37","0.86","8.06","0.5","0.35","5"
"CAPITEA","CAP","11.71","-0.37","0.84","N/A","0.75","0.73","5"
"INTERCARS","CAR","32.03","10.73","67.23","721.53","50.92","51.01","5"
"CAVATINA","CAV","14.84","14.28","0.49","7.05","0.43","0.32","5"
"CYBERFLKS","CBF","64.64","16.16","17.93","289.74","10.89","11.14","5"
"CCC","CCC","-488.18","-9.88","-57.68","N/A","14.86","13.84","5"
"CDRL","CDL","-4.7","-0.9","1.9","N/A","1.99","0.27","5"
"CDPROJEKT","CDR","110.08","40.25","9.87","397.46","4.7","4.55","5"
"CEZ","CEZ","149.34","28.65","24.29","695.83","9.74","8.19","5"
"CIGAMES","CIG","121.17","23.03","-0.07","N/A","-0.03","-0.03","5"
"COLUMBUS","CLC","-23.91","-12.03","-0.38","N/A","-0.5","-0.61","5"
"CLOUD","CLD","383.44","52.3","12.71","664.94","2.63","2.13","5"
"COALENERG","CLE","-285.54","-6.63","0.35","N/A","-0.19","-0.23","5"
"CLNPHARMA","CLN","-58.68","-17.01","-0.26","N/A","-0.64","-0.81","5"
"COMP","CMP","-61.46","2.79","3.31","9.21","8.58","12.07","5"
"COGNOR","COG","127.06","-0.42","-0.77","N/A","-0.34","-0.54","5"
"CELTIC","CPD","-11.86","0.94","-0.19","N/A","-0.21","-0.18","5"
"CPIEUROPE","CPI","1.05","1.64","4.2","6.91","4.16","8.18","5"
"COMPERIA","CPL","106.84","-10.59","-0.37","N/A","-0.18","-1.76","5"
"COMPREMUM","CPR","73.92","10.47","-2","N/A","-1.15","-1.46","5"
"CYFRPLSAT","CPS","58.48","13.37","1.93","25.86","1.22","0.97","5"
"CREOTECH","CRI","-37.54","-35.1","-5.37","N/A","-8.6","-5.51","5"
"CREEPYJAR","CRJ","3202.46","20.52","750.65","15401.82","22.73","25.14","5"
"CORMAY","CRM","-63.65","3.4","-0.02","N/A","-0.06","-0.05","5"
"CAPTORTX","CTX","-7.9","-11.63","-6.44","N/A","-6.99","-7.18","5"
"DADELO","DAD","3455.61","655.45","35.2","23072.09","0.99","1.56","5"
"DATAWALK","DAT","-1305.27","-126.31","104.74","N/A","-8.69","-9.64","5"
"DBENERGY","DBE","-35.47","21.48",NULL,NULL,NULL,"-0.93","5"
"DECORA","DCR","37.73","8.12","10.58","85.91","7.68","7.12","5"
"DEKPOL","DEK","14.59","4.3","13.22","56.81","11.54","12.24","5"
"DELKO","DEL","32.35","9.66",NULL,NULL,NULL,"0.43","5"
"DRAGOENT","DGE","21.95","20.74","4.09","84.73","3.35","3","5"
"DIGITANET","DIG","111.06","4.38","14.04","61.5","6.65","7.06","5"
"DINOPL","DNP","30.73","33.18","20.08","666.16","15.36","1.6","5"
"DOMDEV","DOM","16.86","8.75","25.78","225.47","22.06","22.62","5"
"DIGITREE","DTR","-182.54","24.7","1.63","40.16","-1.97","-2.21","5"
"DEVELIA","DVL","19.33","5.04","0.99","4.99","0.83","0.78","5"
"ESOTIQ","EAH","62.83","8.62","8.03","69.18","4.93","4.75","5"
"AMREST","EAT","29.98","48.77","0.34","16.48","0.26","0.14","5"
"ECBSA","ECB","51.63","-0.2","307.84","N/A","203.02","2.85","5"
"ECHO","ECH","-25.25","32.08","0.03","0.96","0.04","-0.26","5"
"ELKOP","EKP","-106.98","3.31","0.71","2.33","-10.11","-10.11","5"
"ELEKTROTI","ELT","112.84","8.09","11.54","93.33","5.42","3.74","5"
"ENEA","ENA","-116.78","5.26","-0.3","N/A","1.8","5.95","5"
"ENELMED","ENE","-458.78","-114.06","-1.87","N/A","0.52","0.69","5"
"ENTER","ENT","1.92","4.56","3.81","17.37","3.74","8.95","5"
"EQUNICO","EQU","-33.19","14.16","0.02","0.28","0.03","0.04","5"
"ERBUD","ERB","-23.03","13.96","-1.11","N/A","-1.44","-3.55","5"
"ERG","ERG","46.71","1.3","-1.1","N/A","-0.75","-1.97","5"
"EUROTEL","ETL","5.2","7.41","3.26","24.17","3.1","3.27","5"
"EUCO","EUC","-73.77","0.66","0.48","0.32","1.82","2.1","5"
"EUROCASH","EUR","-4.46","73.45","0.03","2.11","0.03","0.08","5"
"FABRITY","FAB","144.31","8.44","8.97","75.67","3.67","1.1","5"
"FEERUM","FEE","-58.05","-25.73","-0.09","N/A","-0.22","-0.1","5"
"FMG","FMG","50.58","1.63","60.34","98.23","40.07","14.3","5"
"FERRO","FRO","20.28","8.82","4.11","36.27","3.42","3.58","5"
"FASING","FSG","182.99","9.09","14.15","128.65","5","3.84","5"
"FORTE","FTE","31.21","9.23","2.74","25.32","2.09","3.03","5"
"GRENEVIA","GEA","72.21","22.01","0.74","16.3","0.43","0.58","5"
"GAMFACTOR","GIF","-436.54","-26.86","5.12","N/A","-1.52","-1.59","5"
"IMMOBILE","GKI","-170.58","28.46","0.78","22.29","-1.11","-0.87","5"
"GENOMTEC","GMT","-17.3","-12.08","-0.69","N/A","-0.84","-0.78","5"
"GAMEOPS","GOP","312.82","70.81","9.78","692.83","2.37","2.47","5"
"GRUPRACUJ","GPP","7.43","21.87","3.29","71.91","3.06","3.31","5"
"GPW","GPW","5.31","11.53","3.74","43.11","3.55","4.54","5"
"GRODNO","GRN","-70.43","9.87","-0.44","N/A","-1.49","-1.33","5"
"GTC","GTC","35.93","21.05","0.54","11.45","0.4","0.16","5"
"GETIN","GTN","-6.71","0.45","0.63","0.28","0.68","0.63","5"
"HYDROTOR","HDR","-101.65","-0.41","0.08","N/A","-4.87","-4.73","5"
"HELIO","HEL","72.22","7.24","9.21","66.69","5.35","3.5","5"
"HARPER","HRP","593.1","23.94",NULL,NULL,NULL,"0.99","5"
"HUUUGE","HUG","180.45","-5.39","12.17","N/A","4.34","4.56","5"
"MEDINICE","ICE","132.69","-26.53","11.4","N/A","4.9","4.9","5"
"IFIRMA","IFI","44.87","22.29","1.9","42.3","1.31","1.65","5"
"IMCOMPANY","IMC","-102.07","-16.53","-0.13","N/A","6.08","9.11","5"
"IMPERIO","IMP","51.32","39.58","0.02","0.6","0.01","0.14","5"
"IMS","IMS","20.26","17.16","0.36","6.19","0.3","0.27","5"
"INC","INC","206.93","0.03","-1.29","N/A","-0.42","-0.05","5"
"INGBSK","ING","36.98","12.74","46","586.2","33.58","35.05","5"
"INSTALKRK","INK","17.69","7.65","8.65","66.18","7.35","5.88","5"
"INTROL","INL","30.51","7.18","1.59","11.43","1.22","1.13","5"
"INPRO","INP","13.04","5.26","1.65","8.68","1.46","1.35","5"
"IPOPEMA","IPE","162.69","8.03","0.89","7.17","0.34","0.28","5"
"INTERSPPL","IPO","-199.67","-5.02","0.41","N/A","-0.41","-0.45","5"
"INTERBUD","ITB","50.76","-1.14","-0.44","N/A","-0.29","-0.29","5"
"IZOLACJA","IZO","29.99","8.74","0.45","3.98","0.35","0.38","5"
"IZOSTAL","IZS","-0.41","6.66","0.31","2.05","0.31","0.37","5"
