"Spółka","Ticker","latest_cz","avg_cz","latest_eps","avg_eps"
"ALIOR","ALR","5.89","15.11",NULL,NULL
"BNPPPL","BNP","6.27","32.34",NULL,NULL
"BOS","BOS","10.54","7.44",NULL,NULL
"GETIN","GTN","0.73","4.91",NULL,NULL
"HANDLOWY","BHW","8.01","13.88",NULL,NULL
"INGBSK","ING","9.27","13.95",NULL,NULL
"MBANK","MBK","12.38","33.21",NULL,NULL
"MILLENNIUM","MIL","20.66","13.6",NULL,NULL
"PEKAO","PEO","7.48","15.45",NULL,NULL
"PKOBP","PKO","9.27","10.15",NULL,NULL
"SANPL","SPL","9.28","13.57",NULL,NULL
"SANTANDER","SAN","9.03","5.55",NULL,NULL
"UNICREDIT","UCG","10.17","7.37",NULL,NULL
"PLAZACNTR","PLZ","-0.3","-8.2","-29.73","-96.17"
"CAPTORTX","CTX","-5.92","-17.07","-7.18","-8.79"
"XTPL","XTP","-9.83","-37.08","-8.9","-4.7"
"CREOTECH","CRI","-53.48","14.78","-5.51","-4.21"
"DATAWALK","DAT","-21.5","-35.52","-4.63","-4.18"
"QNATECHNO","QNA","-8.19","-8.63","-4.03","-3.51"
"CAPITEA","CAP","0.61","-2.55","0.73","-3.21"
"URTESTE","URT","-24.1","-23.92","-2.16","-2.88"
"NOCTILUCA","NCL","-31.23","-30.08","-3.2","-2.56"
"BIOCELTIX","BCX","-36.03","-22.41","-2.94","-2.38"
"MILKILAND","MLK","-0.46","2.41","-0.54","-2.3"
"POLIMEXMS","PXM","-4.61","0.6","-0.97","-1.91"
"POLTREG","PTG","-6.83","-41.49","-4.47","-1.83"
"ZEPAK","ZEP","4.63","10.09","4.99","-1.55"
"MABION","MAB","-3.91","-37.02","-2.42","-1.5"
"RYVU","RVU","-5.79","24.46","-5.07","-1.38"
"SYGNITY","SGN","39.71","1.2","2.8","-1.29"
"ERG","ERG","-23.91","12.77","-1.97","-1.12"
"SFINKS","SFS","-2.41","8.43","-0.19","-0.88"
"BIOTON","BIO","-21.9","21.13","-0.19","-0.78"
"GENOMTEC","GMT","-7.7","-11.95","-0.78","-0.74"
"IMPERIO","IMP","9.74","2.82","0.14","-0.69"
"MEDICALG","MDG","-23.18","10.72","-1.64","-0.61"
"COLUMBUS","CLC","-11.12","38.89","-0.61","-0.6"
"MOSTALWAR","MSW","-5.87","-7.01","-1.14","-0.5"
"PHOTON","PEN","-2.61","-13.4","-1.15","-0.47"
"ECBSA","ECB","10.49","4.41","2.85","-0.4"
"LESS","LES","-25.62","6.73","-0.01","-0.38"
"PCFGROUP","PCF","-1.26","28.54","-4.16","-0.32"
"CPIEUROPE","CPI","27.19","-10.45","2.82","-0.31"
"MLSYSTEM","MLS","-1.75","21.75","-8.67","-0.3"
"NANOGROUP","NNG","-15.62","-14.95","-0.18","-0.25"
"LARQ","LRQ","-4.34","34.06","-0.4","-0.24"
"MIRACULUM","MIR","-13.09","33.06","-0.07","-0.23"
"INTERSPPL","IPO","-1.53","23.55","-0.41","-0.21"
"MEDINICE","ICE","2.12","-21.27","4.9","-0.21"
"3RGAMES","3RG","-90.91","9.66","-0.01","-0.2"
"WARIMPEX","WXF","-0.38","-2.61","-6.78","-0.2"
"ZREMB","ZRE","10.15","6.86","0.81","-0.19"
"CELTIC","CPD","-34.61","2.56","-0.18","-0.18"
"GAMFACTOR","GIF","-3.7","-8.45","-1.55","-0.18"
"MOLECURE","MOC","-5.44","-28.29","-1.44","-0.17"
"INTERBUD","ITB","-7.7","1.46","-0.25","-0.15"
"SNTVERSE","SVE","46.68","66.1","0.1","-0.12"
"AIRWAY","AWM","-3.63","-35.57","-0.11","-0.11"
"EQUNICO","EQU","26.4","0.91","0.03","-0.11"
"YARRL","YRL","14.94","19.16","0.54","-0.11"
"PHARMENA","PHR","-19.65","24.37","-0.18","-0.1"
"POLICE","PCE","-15.78","8.64","-0.57","-0.08"
"KCI","KCI","-4.4","2.91","-0.2","-0.07"
"COMPERIA","CPL","-2.79","5.63","-1.76","-0.05"
"RAEN","RAE","-4.35","-1.59","-0.1","-0.05"
"CORMAY","CRM","-9.69","-0.26","-0.05","-0.04"
"KSGAGRO","KSG","5.77","1.14","0.69","-0.04"
"OTMUCHOW","OTM","22.64","11.17","0.2","-0.04"
"SKYLINE","SKL","231.7","-1.22","0","-0.04"
"INC","INC","-40.29","2.62","0.04","-0.03"
"VIVID","VVD","-111.07","43.04","-0.01","-0.02"
"ATLANTIS","ATS","32.54","-5.59","0.07","0"
"IMMOBILE","GKI","-3.65","-2.48","-0.98","0"
"CIGAMES","CIG","-97.18","8.93","-0.03","0.02"
"ELKOP","EKP","-0.24","-41.11","-10.11","0.03"
"XPLUS","XPL","32.31","12.56","0.11","0.04"
"APSENERGY","APE","-2.65","11.17","-1.11","0.05"
"PAMAPOL","PMP","-4.59","9.43","-0.51","0.05"
"AGORA","AGO","21.93","-5.48","0.31","0.06"
"ZAMET","ZMT","8.41","10.99","0.1","0.07"
"ENELMED","ENE","26.67","-8.36","0.69","0.08"
"PEPEES","PPS","-8.33","11.96","-0.11","0.08"
"SIMFABRIC","SIM","-37.24","60.62","-0.08","0.08"
"LIBET","LBT","5.32","-13.5","0.3","0.1"
"PMPG","PGM","-2.53","-8.3","-0.78","0.1"
"TESGAS","TSG","-5.77","7.04","-0.39","0.1"
"WASKO","WAS","22.77","19.58","0.08","0.1"
"CLNPHARMA","CLN","-27.93","26.74","-0.81","0.12"
"MEXPOLSKA","MEX","23.87","-1.68","0.1","0.12"
"ODLEWNIE","ODL","16.16","6.97","0.56","0.13"
"VRG","VRG","11.49","7.73","0.39","0.13"
"LUBAWA","LBW","13.91","22.56","0.65","0.14"
"STAPORKOW","ZUK","8.05","7.43","0.41","0.14"
"EUCO","EUC","1.53","5.65","2.1","0.17"
"IZOLACJA","IZO","9.86","14.58","0.38","0.17"
"MOSTALZAB","MSZ","7.84","10.6","0.8","0.17"
"ALLEGRO","ALE","37.15","55.82","1.03","0.18"
"IMS","IMS","12.33","17.49","0.28","0.18"
"JRH","JRH","-8.03","11.09","-0.6","0.18"
